"","NEG1","NEG2","NEG3","NEG4","POS1","POS2","POS3","POS4"
"Gm35438",3,1,1,5,0,7,3,0
"5_8S_rRNA",16,10,5,7,3,6,6,9
"Gm4221",35,30,27,33,22,38,54,46
"Arhgap26",259,336,323,390,360,415,476,453
"Pcdha11",5,11,22,29,10,9,23,31
"Vault",1,1,1,5,1,0,0,1
"Snhg4",109,225,109,117,120,266,123,155
"Atp5o",1099,1286,884,803,908,1648,1275,1196
"Gcat",44,71,70,27,49,84,31,40
"Gm5468",0,0,0,1,0,0,1,3
"4930594M22Rik",7,14,9,5,11,3,19,14
"Gm5089",0,1,0,0,3,0,0,1
"Gm6740",0,0,0,0,0,0,1,0
"Nnt",28,18,15,20,16,17,30,40
"Gm36638",21,24,19,16,15,11,17,26
"mmu-mir-683-1",0,0,0,0,2,0,0,0
"Gm35558",58,96,91,65,79,55,89,165
"1700030C10Rik",33,61,51,66,60,50,28,110
"St6galnac2",201,250,174,244,228,238,323,325
"mmu-mir-451a",0,1,0,0,0,0,0,0
"Ddit3",1375,2485,1796,1485,1622,2407,2026,1646
"SNORA73",1,0,4,1,0,2,1,3
"Gm6729",0,1,0,0,0,0,0,0
"C730027H18Rik",1,0,1,1,4,0,0,7
"Gm16364",239,207,209,195,190,308,275,261
"SNORD16",14,38,18,29,18,40,27,23
"Dpep2",0,0,2,1,2,1,0,3
"Nrg1",176,157,436,267,160,148,211,392
"Aldoa",20485,25889,26170,22177,22725,33991,26427,33116
"Gvin-ps1",8,32,45,25,60,39,31,73
"Lhb",0,0,0,0,1,0,0,6
"Tmem147os",184,210,162,150,129,164,236,227
"Gm16499",13,8,16,15,16,26,16,21
"Fam220a",31,49,23,18,21,23,59,54
"U4",0,0,3,3,11,2,5,4
"Gm28710",10,11,5,9,8,21,7,7
"Pakap",9,22,16,32,29,9,18,34
"Gm13301",43,85,94,63,67,84,81,153
"Metazoa_SRP",0,0,1,0,1,0,1,4
"Gm4430",205,298,274,226,215,369,198,412
"U1",8,12,8,17,18,8,12,26
"SNORD62",3,4,2,3,8,10,7,17
"Snora43",0,2,0,0,0,0,0,0
"Ndor1",271,436,497,380,443,424,449,594
"U5",5,0,3,1,7,1,8,5
"mmu-mir-1194",1,0,0,0,0,0,0,0
"Gm16701",32,52,47,42,45,81,44,113
"Y_RNA",0,0,0,1,4,3,0,1
"Zc3h11a",1119,1247,2207,1894,1636,1413,2461,4213
"Septin2",130,226,177,191,148,173,214,324
"U2",4,6,7,20,11,17,8,14
"5S_rRNA",51,76,59,73,86,53,81,123
"Ptp4a1",407,519,473,505,528,607,683,822
"7SK",558,581,380,290,388,254,482,656
"U6",65,109,67,95,93,116,127,147
"Xkr4",35,42,63,43,55,55,87,110
"Gm37180",0,0,0,0,1,0,0,2
"Gm37363",0,0,0,0,0,0,0,1
"Gm37686",0,1,0,0,0,0,0,0
"Gm7341",0,0,0,0,0,0,0,1
"Gm38148",3,0,1,0,0,0,0,0
"Gm19938",3,1,4,1,3,1,6,3
"Rp1",1,1,8,1,0,0,0,0
"Sox17",5,3,1,11,16,0,10,6
"Gm7357",2,2,3,0,0,3,0,0
"Gm37323",4,0,0,2,3,0,0,0
"Gm7369",0,0,1,1,1,2,2,0
"Gm6085",1,10,5,5,16,14,4,13
"Gm6119",0,10,4,1,0,0,4,1
"Gm2053",6,0,0,0,0,1,0,0
"Gm6123",14,12,9,15,8,19,18,15
"Mrpl15",1193,1119,1095,825,1042,1733,1473,1994
"Gm37144",1,4,3,1,3,1,1,11
"Lypla1",1729,2040,1867,1644,1698,2217,2858,3437
"Tcea1",1596,1852,1483,1444,1494,2092,2722,3160
