"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"Acan",423.027942307443,-1.72492071106672,0.235612351903007,1.12937056303683e-14,2.41052852974581e-10
"Cdh1",134.968640593015,1.97160267439867,0.355150379153363,1.21986304204048e-09,1.3018378384656e-05
"Lad1",27.5950133064963,3.56576749781463,0.756330611320469,1.30132335150026e-07,0.000555508912288432
"Apoe",12783.4476042487,0.614569616592613,0.131467456396072,1.23053925675154e-07,0.000555508912288432
"Ly6d",61.0651541934409,4.13896545349873,0.878510011719294,1.0114256413465e-07,0.000555508912288432
"Saa3",10719.7458791269,0.883732855977994,0.194327146342299,2.59902366927213e-07,0.000924559353282407
"Zbtb16",1972.66591724325,0.955857070478581,0.213642885216556,3.09185535438881e-07,0.000942750866915352
"Ido1",41.814412610398,4.30888093144233,0.992094923514454,5.82625496915724e-07,0.00155444482577115
"Tlcd4",177.624738416573,1.54084462165756,0.367453268071708,1.07296883321111e-06,0.00254460519733976
"Esrp1",31.0887849252642,3.06298271684766,0.735654441470283,1.20163254665971e-06,0.00256476450759048
"Tox2",31.4041786252303,1.76664991090534,0.423364724519382,1.33009777910783e-06,0.00258087336338887
"Prkcb",98.464864262237,1.26356963872084,0.308149445514529,1.66031828543621e-06,0.00278667853526877
"Rab11fip1",57.1337692190702,1.37333348224447,0.335939810312195,1.69728359063409e-06,0.00278667853526877
"Bc1",257.01903555875,1.10283047745435,0.282088091894758,3.49575984977412e-06,0.00532953558811278
"Galnt3",18.1821877369432,3.71355655811822,0.948969892094865,4.79822853744976e-06,0.00682755932688851
"Enpp1",2657.16459582049,-0.639570918376222,0.170700854708496,6.5911242529783e-06,0.00879255975347305
"Slc5a5",115.946847889679,2.43069902100529,0.675670558147336,1.10119313405368e-05,0.0138258036783775
"Padi4",19.3683572998185,2.52727404526955,0.704427148268507,1.43066925540988e-05,0.0160716866249834
"Ripor2",96.788378330994,0.866463899505795,0.243523883933497,1.36167144256155e-05,0.0160716866249834
"Cytip",39.2159371695085,1.45585062145226,0.413345289962378,1.60170974094572e-05,0.0170934463553727
"Spint2",134.505438396114,1.49077427689447,0.435037615075674,2.11394128818888e-05,0.0214856965976683
"Cyp3a57",13.3661884316432,3.72259830300368,1.0416184074086,2.27764111592102e-05,0.0220972599900992
"Capsl",6.02425837842334,6.2244554434207,2.69436589715347,2.57136493251873e-05,0.0238622665737738
"Rab25",15.0146458797144,2.74262570061884,0.806514801067311,2.95472867165748e-05,0.0252464865677223
"Gm12481",359.453272745102,0.613195281219902,0.18404520668642,3.02805123178204e-05,0.0252464865677223
"Comp",7006.27199210984,-1.63484028824332e-05,0.00144272066483212,3.0753778615104e-05,0.0252464865677223
"Mlana",340.995759438026,0.922605230450253,0.28061685907938,3.48683271531359e-05,0.027564058324316
"Sema3e",1977.85203029905,-0.708262014734691,0.214516882867112,3.95500609803855e-05,0.0301484464844767
"Nfam1",37.432476714444,1.87146947717757,0.590326376974422,5.16627791619376e-05,0.0380238054631861
"Irf6",25.5764803544897,2.34765874316165,0.749102899356422,5.5632902867778e-05,0.0395809559603285
"Gata3",83.0428201651822,2.34864796738518,0.775139001605114,7.4473315611152e-05,0.051276078980788
"Prlr",646.233066804554,0.850068892930964,0.279541109990072,7.77431497249462e-05,0.0518546808665391
"Lamc3",182.187747916344,0.965117710639785,0.32071790463748,8.66588603665214e-05,0.0540014456976695
"Acta1",192.443462227605,-0.896324571773507,0.299418895945071,8.85518459247767e-05,0.0540014456976695
"Cdcp1",39.3055911408492,1.70693032304629,0.567328991971774,8.66716267531676e-05,0.0540014456976695
"Stxbp2",52.7163737502732,1.19619080587799,0.400772907758309,9.32690443298325e-05,0.0552981800604429
"Atp6v1b1",91.3592609961293,3.159842987998,1.12443421618514,0.000128935117453809,0.0743781391063272
"Bspry",7.55372271910735,3.45521973120285,1.10336248149594,0.000146824467549403,0.0814097767936677
"Syn2",49.2764178661799,1.43912617581864,0.510272891463715,0.000152567047964145,0.0814097767936677
"Tafa5",425.073365578842,-0.44620418228031,0.157972448771408,0.0001509672901648,0.0814097767936677
"Slc16a6",149.613740648481,-0.548949013348883,0.195933692749333,0.000160017326440981,0.0833026784282026
"4930412O13Rik",3.88277677866482,5.29710588836347,2.64010311628134,0.000179843223812947,0.0892691574200826
"Csn3",111.939681473615,4.29315821721195,1.64270245086608,0.000175866116195468,0.0892691574200826
"Per2",1100.16970838096,0.720277689146703,0.264815714129643,0.000200928683265009,0.0953027070135188
"Tcp10b",11.7226167546864,-7.10368024968303e-06,0.00144269920727453,0.000200268200212211,0.0953027070135188
"Tspan1",10.0198687809834,3.10071852056775,1.09624846506655,0.00020921106520819,0.0970739342566001
"Rasef",18.021895093517,2.40371053905372,0.896300293055685,0.000227847441214448,0.0983480053569635
"Itprid1",26.0419661551045,1.84200315905279,0.69047629716191,0.000230841786294385,0.0983480053569635
"Ceacam1",53.0550083181332,1.22400868763272,0.462700484880988,0.000239603461326935,0.0983480053569635
"Hapln4",173.28324473883,0.821357978444396,0.307239473079049,0.000228695683190627,0.0983480053569635
"Smoc1",455.643792823246,-1.62744032613488e-05,0.00144271457555721,0.000228427303946342,0.0983480053569635
"Thbs4",130843.660701077,-2.86796566936819e-05,0.00144275399478037,0.000236414630404366,0.0983480053569635
"Myo5c",10.3675925187751,2.68717297582761,1.0002795650996,0.000284128278645589,0.114423282630405
"Ckm",101.044009306982,-1.06561339021338e-05,0.00144270322761723,0.000295285170562498,0.116714197786777
"Wnt16",1160.46272824302,-0.505976532771779,0.198741342434699,0.000317875056156387,0.12335863997458
"Slc5a7",29.2020091026332,1.72657778076313,0.685889297126393,0.000334339825922687,0.125195600780593
"Rnf128",31.8015806933784,1.36014516788171,0.535556157388068,0.00032985714379808,0.125195600780593
"Dmbt1",298.653726696231,4.19678762513398,1.83090705596602,0.000348353078631708,0.128193932936468
"C7",1955.99954715071,0.479913709737488,0.191709808494751,0.000356878877855246,0.12910547066004
"Tns4",23.6229658000701,1.58694495169242,0.642250201106528,0.000372688855325876,0.132577848801258
"Rhov",10.9938173831323,2.40499219597075,0.952681331667519,0.000407436161815701,0.136925355649495
"Pcdh15",42.6592074792994,-0.946337265607792,0.391997422959514,0.00044906179232874,0.136925355649495
"Cldn7",35.0984547509518,1.51182222301838,0.616107918685107,0.000396110794135208,0.136925355649495
"Cbr2",28.9718994044536,1.29118014841152,0.527667810436704,0.000419921924460408,0.136925355649495
"Dsp",71.8196460183807,2.34631674191452,0.997065021992591,0.000445176509248697,0.136925355649495
"Ocln",18.6217053331797,1.73160384002288,0.7172375305097,0.000448706264566445,0.136925355649495
"Krt7",156.713891869836,2.28629207010778,0.95765625300096,0.00040872817610522,0.136925355649495
"Ildr1",10.7072193509963,3.02848656443919,1.21412782182946,0.000416380274089044,0.136925355649495
"Sptbn2",45.0573212167687,1.07168273276499,0.442622741969941,0.000436904601612764,0.136925355649495
"Cybb",228.465603693104,0.957866664530807,0.395180988218437,0.000424296851565734,0.136925355649495
"Il1r2",1273.91494856588,0.651131268745017,0.274200818455065,0.000488211759345122,0.143407082323809
"Ldb2",2717.9551632648,0.443372628278841,0.187983997584842,0.000510632414571285,0.143407082323809
"Ptn",4155.81846441527,0.344883233109715,0.144887666456618,0.000495886613933938,0.143407082323809
"C2cd4b",10.3943061120458,2.41429981967508,0.99812240739206,0.000507998360883096,0.143407082323809
